instance_name,rub_2,opt_2,nodes_2,time_2,rub_4,opt_4,nodes_4,time_4,rub_6,opt_6,nodes_6,time_6
p2.2.a,50.00,50.00,1,0.70,50.00,50.00,1,0.45,60.00,60.00,1,0.46
p2.2.b,80.00,80.00,1,0.35,85.00,85.00,1,0.59,90.00,90.00,1,0.60
p2.2.c,80.00,80.00,1,0.47,85.00,85.00,1,0.55,95.00,95.00,1,0.70
p2.2.d,90.00,90.00,1,0.48,100.00,100.00,1,0.59,115.00,110.00,7,3.19
p2.2.e,100.00,100.00,1,0.73,120.00,115.00,7,1.89,135.71,135.00,3,6.30
p2.2.f,115.00,115.00,1,0.71,152.50,145.00,7,3.06,181.25,180.00,3,7.84
p2.2.g,125.00,125.00,1,0.59,167.50,165.00,3,3.38,190.00,190.00,3,15.21
p2.2.h,140.00,140.00,1,0.57,186.67,180.00,17,10.21,200.00,200.00,1,2.01
p2.2.i,160.00,160.00,1,0.71,205.00,200.00,5,8.90,230.00,230.00,1,5.31
p2.2.j,163.33,160.00,25,2.60,220.00,220.00,1,5.39,230.00,230.00,1,14.12
p2.2.k,190.00,190.00,1,0.90,236.67,230.00,5,21.32,260.00,260.00,1,17.77
p2.3.b,15.00,15.00,1,0.40,25.00,25.00,1,0.66,35.00,35.00,1,0.74
p2.3.c,50.00,50.00,1,0.72,60.00,60.00,1,0.67,70.00,70.00,1,0.50
p2.3.d,50.00,50.00,1,0.45,60.00,60.00,1,0.45,90.00,90.00,1,0.49
p2.3.e,50.00,50.00,1,0.46,80.00,80.00,1,0.48,105.00,105.00,1,0.51
p2.3.f,95.00,95.00,1,0.49,105.00,105.00,1,0.49,105.00,105.00,1,0.58
p2.3.g,97.50,95.00,3,0.50,110.00,110.00,1,0.51,120.00,120.00,1,0.61
p2.3.h,97.50,95.00,5,0.56,117.50,115.00,3,0.77,125.00,125.00,1,0.66
p2.3.i,110.00,110.00,1,0.61,140.00,140.00,1,0.75,158.75,155.00,3,2.85
p2.3.j,130.00,130.00,1,0.50,155.00,155.00,1,0.63,166.67,165.00,3,2.54
p2.3.k,150.00,150.00,1,0.54,200.00,200.00,1,1.14,200.00,200.00,1,1.10
p2.4.d,--,--,1,0.33,--,--,1,0.31,10.00,10.00,1,0.45
p2.4.e,25.00,25.00,1,0.33,25.00,25.00,1,0.45,35.00,35.00,1,0.47
p2.4.f,50.00,50.00,1,0.33,50.00,50.00,1,0.32,70.00,70.00,1,0.35
p2.4.g,50.00,50.00,1,0.46,70.00,70.00,1,0.46,70.00,70.00,1,0.48
p2.4.h,50.00,50.00,1,0.55,90.00,90.00,1,0.57,90.00,90.00,1,0.39
p2.4.i,70.00,70.00,1,0.34,105.00,105.00,1,0.69,105.00,105.00,1,0.53
p2.4.j,105.00,105.00,1,0.46,105.00,105.00,1,0.49,105.00,105.00,1,0.56
p2.4.k,112.50,110.00,5,0.59,120.00,120.00,1,0.53,120.00,120.00,1,0.61
