strict_time,relaxed_time
172.886,148.72
250.801,240.956
333.619,351.317
661.596,735.402
225.174,259.994
1236.823,1172.851
207.079,221.192
2290.37,2380.201
301.247,311.207
1887.95,2008.236
298.7,221.657
1494.162,890.685
1406.836,880.769
545.382,436.383
154.155,134.389
138.055,98.527
3119.233,1989.855
745.093,534.085
3108.722,1449.361
411.142,281.103
3021.483,1550.544
101.83,119.133
317.002,258.905
3096.43,2059.778
617.698,443.505
1359.987,780.057
1622.371,811.729
